username,tweet,pure_tweet
b'Richard Duke',What would be your response if someone attacks you with a,b'What would be your response if someone attacks you with a '
b'Bryan Crump',Owners Are Winning in California,b' Owners Are Winning in California! '
b'Bryan Crump',youtubecom,b'youtube.com'
b'Bryan Crump',Gun Owners Are Winning in California,b'Gun Owners Are Winning in California!'
b'Bryan Crump',The GunGuy Uncensored httpstwittercomgunguytvPractical Defense Systems httpspdsclassescomJoin My Email List httpeepurlcomhWbzJoin the Gun,b'The GunGuy Uncensored: https://twitter.com/gunguytvPractical Defense Systems: https://pdsclasses.com/Join My Email List: http://eepurl.com/hWbz19Join the Gun...'
b'Vincent Van Der Hyde',American are so violent Taught to use force and violence almost from birth No wonder the U S murder rate is so high And with more,"b'American are so violent.  Taught to use force and violence almost from birth.  No wonder the U S murder rate is so high. And, with more '"
b'Erath',Pro,b'Pro '
b'\xe3\x81\x90\xe3\x82\x93\xe3\x81\x95\xe3\x82\x93\xe3\x81\xaf\xe4\xbb\x8a\xe6\x97\xa5\xe3\x82\x82\xe6\x97\xa9\xe8\xb5\xb7\xe3\x81\x8d(Garu\xe1\xb8\x8da\xe9\xaf\x96)',DLSS Ver,b'\xe3\x82\x84\xe3\x81\xa3\xe3\x81\xb1\xe3\x82\x8a\xe3\x80\x81DLSS\xe5\xaf\xbe\xe5\xbf\x9c\xe3\x81\x97\xe3\x81\xa6\xe3\x81\x9f\xe3\x81\xae\xe3\x81\x8b\xe3\x83\xbc\nVer\xe3\x81\x84\xe3\x81\x8f\xe3\x81\xa4\xe3\x81\xbe\xe3\x81\xa7\xe5\xaf\xbe\xe5\xbf\x9c\xe3\x81\x97\xe3\x81\x9f\xe3\x81\xae\xe3\x81\x8b\xe3\x81\xaa'
b'RIP',Fitting that the Communist liberators are always depicted doing it at the end of a,"b'Fitting that the Communist ""liberators"" are always depicted doing it at the end of a '"
b'\xe3\x83\x95\xe3\x83\xbc\xe3\x82\xad\xe3\x83\xbc',,b'\xe4\xbb\x95\xe4\xba\x8b\xe6\x9f\x84\xe5\x8d\xb1\xe9\x99\xba\xe7\x89\xa9\xe3\x81\xa8\xe3\x81\x8b\xe8\xbf\x91\xe3\x81\x8f\xe3\x81\xab\xe3\x81\x84\xe3\x82\x8b\xe6\x99\x82\xe3\x81\x82\xe3\x82\x8b\xe3\x81\x8b\xe3\x82\x89\xe3\x81\x9d\xe3\x81\x93\xe3\x81\xa7\xe6\xbc\xb8\xe3\x81\x8f\xe6\xb0\x97\xe3\x81\xa5\xe3\x81\x84\xe3\x81\x9f\n\xe5\x97\x85\xe8\xa6\x9a\xe3\x81\x8a\xe3\x81\x8b\xe3\x81\x97\xe3\x81\xaa\xe3\x81\xa3\xe3\x81\xa6\xe3\x82\x8b\xe2\x80\xa6\n\n\xe4\xbd\x95\xe3\x81\xa8\xe3\x81\xaa\xe3\x81\x8f\xe5\x91\xb3\xe3\x82\x92\xe6\x84\x9f\xe3\x81\x98\xe3\x82\x8c\xe3\x82\x8b\xe7\xa8\x8b\xe5\xba\xa6\xe3\x82\x84\xe3\x81\x8b\xe3\x82\x89\xe8\xbb\xbd\xe7\x97\x87\xe9\x81\x8e\xe3\x81\x8e\xe3\x81\xa6\xe6\xb0\x97\xe3\x81\xa5\xe3\x81\x8f\xe3\x81\xae\xe9\x81\x85\xe3\x81\xa3'
