username,tweet,pure_tweet,type
b'Richard Duke',What would be your response if someone attacks you with a,b'What would be your response if someone attacks you with a ',Neutral
b'Bryan Crump',Owners Are Winning in California,b' Owners Are Winning in California! ',Positive
b'Bryan Crump',youtubecom,b'youtube.com',Neutral
b'Bryan Crump',Gun Owners Are Winning in California,b'Gun Owners Are Winning in California!',Neutral
b'Bryan Crump',The GunGuy Uncensored httpstwittercomgunguytvPractical Defense Systems httpspdsclassescomJoin My Email List httpeepurlcomhWbzJoin the Gun,b'The GunGuy Uncensored: https://twitter.com/gunguytvPractical Defense Systems: https://pdsclasses.com/Join My Email List: http://eepurl.com/hWbz19Join the Gun...',Neutral
b'Vincent Van Der Hyde',American are so violent Taught to use force and violence almost from birth No wonder the U S murder rate is so high And with more,"b'American are so violent.  Taught to use force and violence almost from birth.  No wonder the U S murder rate is so high. And, with more '",Negative
b'Erath',Pro,b'Pro ',Neutral
b'\xe3\x81\x90\xe3\x82\x93\xe3\x81\x95\xe3\x82\x93\xe3\x81\xaf\xe4\xbb\x8a\xe6\x97\xa5\xe3\x82\x82\xe6\x97\xa9\xe8\xb5\xb7\xe3\x81\x8d(Garu\xe1\xb8\x8da\xe9\xaf\x96)',DLSS Ver,b'\xe3\x82\x84\xe3\x81\xa3\xe3\x81\xb1\xe3\x82\x8a\xe3\x80\x81DLSS\xe5\xaf\xbe\xe5\xbf\x9c\xe3\x81\x97\xe3\x81\xa6\xe3\x81\x9f\xe3\x81\xae\xe3\x81\x8b\xe3\x83\xbc\nVer\xe3\x81\x84\xe3\x81\x8f\xe3\x81\xa4\xe3\x81\xbe\xe3\x81\xa7\xe5\xaf\xbe\xe5\xbf\x9c\xe3\x81\x97\xe3\x81\x9f\xe3\x81\xae\xe3\x81\x8b\xe3\x81\xaa',Neutral
b'RIP',Fitting that the Communist liberators are always depicted doing it at the end of a,"b'Fitting that the Communist ""liberators"" are always depicted doing it at the end of a '",Negative
b'gun',Aw,b'Aw',Negative
b'Urah',She got the kind of love that call you back Itll bleed you there and watch you crack on the floor Oh no no no no no no no no no Surely as the moon will rise Shell fashion daggers through your eyes She waited for her prince to come Then shot him with his royal,"b""She got the kind of love that call you back\nIt'll bleed you there and watch you crack on the floor\nOh no no no no no no no no no\n \nSurely as the moon will rise\nShe'll fashion daggers through your eyes\nShe waited for her prince to come\nThen shot him with his royal """,Neutral
b'Imam Gunawan',Join Imotas  Mainnet journey and be part of our exciting  revenue sharing model,"b""Join Imota's 2024 Mainnet journey and be part of our exciting 70% revenue sharing model! """,Positive
b'Mike kinsey',The cartel will want there cut  then what You cant say no ya feel me You could but you and who ever else is around will get a dose of what will happen Ya know automatic,"b'The cartel will want there cut ,,  then what??\nYou cant say no,  ya feel me\nYou could but you and who ever else is around will get a dose of what will happen\nYa know automatic '",Neutral
b'EyesOnGovernment   ',Police took possession of E Jean Carrolls unregistered,"b""Police took possession of E. Jean Carroll's unregistered """,Neutral
"b'Kevin, irritated Padres fan'",Jake with a big brain play to pop right out of the netting and,b'Jake with a big brain play to pop right out of the netting and ',Neutral
b'Josue',Dawg that is not ketchup or mustard,b'Dawg that is not ketchup or mustard ',Negative
b'pussum',I dont know if you know what you are talking or basically a no brainer if someonereported of violencecriminal etchas a,"b'I don\xe2\x80\x99t know if you know what you are talking or basically a no brainer, if someone(reported of violence/criminal etc.)has a '",Negative
b'GGG',Okay Leftist,"b'Okay, Leftist '",Negative
b'Marvin gene Morris foreign service officer',about every time I cut on the news or every time I cut on the TV I hear something about,b'about every time I cut on the news or every time I cut on the TV I hear something about ',Neutral
b'taz',them going back on their rules always feels like bullshit like tf do you mean they just one day they felt like deleting  years worth of ugc,b'them going back on their rules always feels like bullshit like tf do you mean they just one day they felt like deleting 4 years worth of ugc ',Negative
b'Jean Ralphio',If I had a,b'If I had a ',Neutral
b'Urah',Surely as the moon will rise Shell fashion daggers through your eyes She waited for her prince to come Then shot him with his royal,"b""Surely as the moon will rise\nShe'll fashion daggers through your eyes\nShe waited for her prince to come\nThen shot him with his royal """,Neutral
b'Anant Brahmand Ekam Satya',Pichkariwater,b'Pichkari(water ',Neutral
b'gun',Berotot,b'Berotot',Neutral
b'BelowZero99',So close to having a nice long scar down his leg as a reminder not play with,b'So close to having a nice long scar down his leg as a reminder not play with ',Neutral
